DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:34:19";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:34:20";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:34:22";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:34:22";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:34:23";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:06";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:07";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:07";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:09";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:13";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:14";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:19";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:20";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:24";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:24";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:25";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:36:26";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:37:26";}
UPDATE `products` SET `p_type` = ?, `p_name` = ?, `p_code` = ?, `hsn_code` = ?, `barcode_symbology` = ?, `category_id` = ?, `unit_id` = ?, `p_image` = ?, `description` = ?, `discount` = ?  WHERE `p_id` = ?|a:11:{i:0;s:8:"standard";i:1;s:25:"nuevo producto camilodddd";i:2;s:8:"44769120";i:3;N;i:4;s:7:"code128";i:5;s:1:"1";i:6;s:1:"3";i:7;s:19:"/defaultproduct.jpg";i:8;s:0:"";i:9;s:1:"0";i:10;s:1:"9";}
UPDATE `product_to_store` SET `sup_id` = ?, `brand_id` = ?, `box_id` = ?, `taxrate_id` = ?, `tax_method` = ?, `preference` = ?, `purchase_price` = ?, `sell_price` = ?, `e_date` = ?, `alert_quantity` = ? WHERE `store_id` = ? AND `product_id` = ?|a:12:{i:0;s:1:"1";i:1;s:1:"1";i:2;s:1:"1";i:3;s:1:"1";i:4;s:9:"inclusive";i:5;s:6:"a:0:{}";i:6;s:5:"10000";i:7;s:5:"15000";i:8;s:10:"2021-12-13";i:9;s:5:"10.00";i:10;s:1:"1";i:11;s:1:"9";}
UPDATE `product_to_store` SET `status` = ? WHERE `store_id` = ? AND `product_id` = ?|a:3:{i:0;i:1;i:1;i:1;i:2;s:1:"9";}
UPDATE `product_to_store` SET `sort_order` = ? WHERE `store_id` = ? AND `product_id` = ?|a:3:{i:0;i:0;i:1;i:1;i:2;s:1:"9";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:37:27";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:19";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:21";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:28";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:28";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:29";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:30";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:35";}
UPDATE `products` SET `p_type` = ?, `p_name` = ?, `p_code` = ?, `hsn_code` = ?, `barcode_symbology` = ?, `category_id` = ?, `unit_id` = ?, `p_image` = ?, `description` = ?, `discount` = ?  WHERE `p_id` = ?|a:11:{i:0;s:8:"standard";i:1;s:4:"Papa";i:2;s:8:"20812163";i:3;N;i:4;s:7:"code128";i:5;s:1:"3";i:6;s:1:"2";i:7;s:19:"/defaultproduct.jpg";i:8;s:0:"";i:9;s:2:"10";i:10;s:1:"5";}
UPDATE `product_to_store` SET `sup_id` = ?, `brand_id` = ?, `box_id` = ?, `taxrate_id` = ?, `tax_method` = ?, `preference` = ?, `purchase_price` = ?, `sell_price` = ?, `e_date` = ?, `alert_quantity` = ? WHERE `store_id` = ? AND `product_id` = ?|a:12:{i:0;s:1:"1";i:1;s:1:"1";i:2;s:1:"1";i:3;s:1:"6";i:4;s:9:"inclusive";i:5;s:6:"a:0:{}";i:6;s:4:"1000";i:7;s:4:"1500";i:8;s:10:"2021-11-23";i:9;s:5:"10.00";i:10;s:1:"1";i:11;s:1:"5";}
DELETE FROM `product_images` WHERE `product_id` = ?|a:1:{i:0;s:1:"5";}
INSERT INTO `product_images` SET `product_id` = ?, `url` = ?, `sort_order` = ?|a:3:{i:0;s:1:"5";i:1;s:12:"/enguins.jpg";i:2;s:1:"1";}
INSERT INTO `product_images` SET `product_id` = ?, `url` = ?, `sort_order` = ?|a:3:{i:0;s:1:"5";i:1;s:14:"/ydrangeas.jpg";i:2;s:1:"2";}
UPDATE `product_to_store` SET `status` = ? WHERE `store_id` = ? AND `product_id` = ?|a:3:{i:0;i:1;i:1;i:1;i:2;s:1:"5";}
UPDATE `product_to_store` SET `sort_order` = ? WHERE `store_id` = ? AND `product_id` = ?|a:3:{i:0;i:0;i:1;i:1;i:2;s:1:"5";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:37";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:42:46";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:44:00";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:44:01";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:44:24";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:20";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:21";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:27";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:27";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:30";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:30";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:34";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:35";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:47";}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:48";}
DELETE FROM `purchase_info` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `purchase_item` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `purchase_payments` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `purchase_price` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `purchase_returns` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `purchase_return_items` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `customer_transactions` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `sell_logs` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `purchase_logs` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `payments` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `returns` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `return_items` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `selling_info` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `selling_item` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `selling_price` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `quotation_info` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `quotation_item` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `quotation_price` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `holding_info` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `holding_item` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `holding_price` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `transfer_items` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `expenses` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `bank_transaction_info` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `bank_transaction_price` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `sms_schedule` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `pos_register` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `purchase_logs` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `installment_payments` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `installment_orders` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `transfers` WHERE `from_store_id` = '1' OR `to_store_id` = '1'|a:0:{}
DELETE FROM `transfer_items` WHERE `store_id` = '1'|a:0:{}
DELETE FROM `login_logs`|a:0:{}
UPDATE `customers` SET `is_giftcard` = 0 WHERE `customer_id` = '1'|a:0:{}
DELETE FROM `gift_cards` WHERE `customer_id` = '1'|a:0:{}
UPDATE `customers` SET `is_giftcard` = 0 WHERE `customer_id` = '6'|a:0:{}
DELETE FROM `gift_cards` WHERE `customer_id` = '6'|a:0:{}
UPDATE `customer_to_store` SET `balance` = 0, `due` = 0 WHERE `store_id` = '1'|a:0:{}
UPDATE `supplier_to_store` SET `balance` = 0 WHERE `store_id` = '1'|a:0:{}
UPDATE `product_to_store` SET `quantity_in_stock` = 0 WHERE `store_id` = '1'|a:0:{}
UPDATE `bank_accounts` SET `total_deposit` = 0,  `total_withdraw` = 0,  `total_transfer_from_other` = 0,  `total_transfer_to_other` = 0 WHERE `id` = '1'|a:0:{}
UPDATE `bank_accounts` SET `total_deposit` = 0,  `total_withdraw` = 0,  `total_transfer_from_other` = 0,  `total_transfer_to_other` = 0 WHERE `id` = '2'|a:0:{}
UPDATE `bank_account_to_store` SET `deposit` = 0,  `withdraw` = 0,  `transfer_from_other` = 0,  `transfer_to_other` = 0 WHERE `store_id` = '1'|a:0:{}
DELETE FROM `login_logs` WHERE `created_at` < ?|a:1:{i:0;s:19:"2020-11-13 23:45:48";}
